Date;Weight;Fat;Bench Press;Rowing;Chin-up;Dips;Shoulder Press;Bizeps Curls;Trizeps Curls;Deadlift;Leg Press;Leg Extension;Leg Curl
18.03.18;81.9;;;;;;;;;;;;
19.03.18;;;;;;;;;;;;;
20.03.18;83;;;;;;;;;;;;
21.03.18;82.2;;;;;;;;;;;;
22.03.18;82.4;;0;15;27;27;5;36;50;;;;
23.03.18;82.4;;;;;;;;;10;35;32;39
24.03.18;82;;;;;;;;;;;;
25.03.18;;;;;;;;;;;;;
26.03.18;;;5;20;27;27;5;36;50;;;;
27.03.18;83;;;;;;;;;15;35;32;39
28.03.18;83;;;;;;;;;;;;
29.03.18;83.3;;10;20;27;27;5;36;54;;;;
30.03.18;83.4;;;;;;;;;20;40;34;41
31.03.18;83.6;;;;;;;;;;;;
01.04.18;;;;;;;;;;;;;
02.04.18;82.5;;;;;;;;;;;;
03.04.18;83;;12.5;20;27;25;6;36;54;;;;
04.04.18;83.1;;;;;;;;;22.5;42.5;34;41
05.04.18;83.4;;;;;;;;;;;;
06.04.18;83.6;;12.5;20;27;25;6;36;54;;;;
07.04.18;;;;;;;;;;25;45;36;41
08.04.18;83.3;;;;;;;;;;;;
09.04.18;83.5;;12.5;22.5;27;25;6;36;54;;;;
10.04.18;;;;;;;;;;15;45;36;37
11.04.18;83.6;;;;;;;;;;;;
12.04.18;;;12.5;22.5;27;25;7;34;56;;;;
13.04.18;84;;;;;;;;;27.5;47.5;36;37
14.04.18;84;;;;;;;;;;;;
15.04.18;84.3;;;;;;;;;;;;
16.04.18;84.3;;15;22.5;27;25;7;34;56;;;;
17.04.18;;;;;;;;;;30;47.5;36;37
18.04.18;84.3;;;;;;;;;;;;
19.04.18;84.5;;15;22.5;25;25;7;34;59;;;;
20.04.18;85.4;;;;;;;;;30;47.5;39;36
21.04.18;;;;;;;;;;;;;
22.04.18;85;;;;;;;;;;;;
23.04.18;84.4;;;;;;;;;;;;
24.04.18;;;;;;;;;;32.5;47.5;41;37
25.04.18;84.3;;;;;;;;;;;;
26.04.18;;;5;15;34;34;4;27;50;;;;
27.04.18;;;;;;;;;;;;;
28.04.18;84.7;;;;;;;;;32.5;47.5;41;37
29.04.18;85;;;;;;;;;;;;
30.04.18;85.6;;10;22.5;25;25;7;34;59;;;;
01.05.18;;;;;;;;;;;;;
02.05.18;85.6;;;;;;;;;32.5;47.5;43;37
03.05.18;84.7;;10;22.5;25;25;7;34;59;;;;
04.05.18;;;;;;;;;;35;50;43;37
05.05.18;;;;;;;;;;;;;
06.05.18;86;;;;;;;;;;;;
07.05.18;86.8;;12.5;22.5;25;25;8;34;59;;;;
08.05.18;85.3;;;;;;;;;35;50;45;37
09.05.18;;;;;;;;;;;;;
10.05.18;;;12.5;22.5;25;25;8;34;59;;;;
11.05.18;;;;;;;;;;35;52.5;45;37
12.05.18;;;;;;;;;;;;;
13.05.18;;;;;;;;;;;;;
14.05.18;86.2;17.5;15;25;25;25;8;34;59;;;;
15.05.18;;;;;;;;;;37.5;55;47;37
16.05.18;86.5;17.9;15;25;25;25;8;34;61;;;;
17.05.18;85.4;16.8;;;;;;;;37.5;55;47;37
18.05.18;87;17.7;;;;;;;;;;;
19.05.18;;;;;;;;;;;;;
20.05.18;;;;;;;;;;;;;
21.05.18;88.5;18.4;15;25;25;25;8;34;61;;;;
22.05.18;87.3;17.8;;;;;;;;37.5;55;47;37
23.05.18;86.5;18.4;;;;;;;;;;;
24.05.18;;;15;25;25;25;8;34;61;;;;
25.05.18;86.8;17.6;;;;;;;;37.5;55;47;37
26.05.18;88;17.9;;;;;;;;;;;
27.05.18;87.5;18;;;;;;;;;;;
28.05.18;88.1;18.3;;;;;;;;;;;
29.05.18;;;16;25;27;27;8;34;61;;;;
30.05.18;86.5;17.5;;;;;;;;37.5;57.5;47;37
31.05.18;85.4;16.9;;;;;;;;;;;
01.06.18;87.1;17.8;16;25;27;27;8;34;61;;;;
02.06.18;86.8;17.4;;;;;;;;25;57.5;49;37
03.06.18;;;;;;;;;;;;;
